Seria pomiarowa: 0
Godzina poczatkowa: 6:00, Godzina koncowa: 20:00
Dzielnik, Panel, Temperatura, Czas [s]
551,1.54,4.71,28.00
552,1.49,4.53,28.00
553,1.05,3.19,27.94
554,4.54,13.83,27.94
555,2.89,8.81,27.94
556,2.68,8.18,27.94
557,1.42,4.32,27.94
558,1.12,3.43,27.87
559,3.35,10.21,27.87
560,3.79,11.57,27.87
561,3.76,11.46,27.87
562,2.83,8.62,27.87
563,3.95,12.06,27.81
564,2.01,6.13,27.81
565,1.67,5.10,27.81
566,2.48,7.56,27.81
567,2.18,6.66,27.81
568,3.24,9.87,27.75
569,2.25,6.86,27.75
570,3.60,10.99,27.75
571,1.41,4.31,27.75
572,3.07,9.38,27.75
573,3.38,10.32,27.75
574,3.37,10.27,27.75
575,3.62,11.03,27.69
576,4.64,14.15,27.69
577,1.49,4.53,27.69
578,4.11,12.54,27.69
579,2.69,8.21,27.69
580,3.79,11.55,27.69
581,3.80,11.60,27.62
582,2.52,7.68,27.62
583,3.12,9.51,27.62
584,3.67,11.20,27.62
585,3.50,10.67,27.62
586,1.85,5.63,27.62
587,2.96,9.02,27.62
588,3.32,10.12,27.62
589,2.58,7.87,27.56
590,1.98,6.05,27.56
591,3.94,12.02,27.56
592,3.18,9.70,27.56
593,2.56,7.81,27.56
594,3.19,9.72,27.50
595,2.80,8.53,27.50
596,3.44,10.48,27.50
597,3.15,9.62,27.50
598,2.75,8.38,27.50
599,3.30,10.08,27.50
600,2.21,6.75,27.44
601,2.93,8.93,27.44
602,3.29,10.03,27.44
603,2.82,8.60,27.44
604,3.07,9.36,27.44
605,2.20,6.71,27.44
606,3.40,10.36,27.44
607,2.02,6.17,27.37
608,3.48,10.61,27.37
609,3.90,11.88,27.37
610,3.99,12.18,27.37
611,2.39,7.29,27.37
612,3.93,11.99,27.37
613,1.29,3.92,27.37
614,4.54,13.85,27.31
615,2.95,9.00,27.31
616,3.89,11.87,27.31
617,1.89,5.75,27.31
618,3.93,11.99,27.31
619,4.26,13.00,27.31
620,4.50,13.71,27.31
621,4.71,14.37,27.25
622,3.00,9.14,27.25
623,2.37,7.22,27.25
624,4.01,12.24,27.25
625,2.41,7.35,27.25
626,3.33,10.15,27.25
627,1.75,5.34,27.25
628,3.57,10.90,27.25
629,1.40,4.28,27.25
630,3.24,9.87,27.19
631,1.67,5.10,27.19
632,1.52,4.62,27.19
633,3.88,11.82,27.19
634,2.71,8.27,27.19
635,1.12,3.43,27.19
636,3.72,11.34,27.19
637,4.81,14.68,27.19
638,1.17,3.58,27.19
639,4.34,13.24,27.19
640,4.63,14.13,27.19
641,1.40,4.28,27.19
642,2.22,6.77,27.12
643,1.28,3.91,27.12
644,1.18,3.61,27.12
645,2.43,7.42,27.12
646,1.48,4.50,27.12
647,2.17,6.62,27.12
648,2.17,6.60,27.12
649,1.89,5.77,27.12
650,3.37,10.29,27.12
651,2.93,8.93,27.12
652,1.39,4.23,27.12
653,4.32,13.16,27.12
654,3.53,10.76,27.06
655,4.27,13.01,27.06
656,4.74,14.45,27.06
657,3.84,11.70,27.06
658,1.85,5.63,27.06
659,1.05,3.21,27.06
660,2.95,9.00,27.06
661,3.72,11.34,27.06
662,2.85,8.71,27.00
663,1.95,5.95,27.00
664,2.93,8.93,27.00
665,3.91,11.91,27.00
666,2.12,6.47,27.00
667,1.83,5.59,27.00
668,2.23,6.80,27.00
669,1.88,5.72,27.00
670,3.16,9.63,26.94
671,3.70,11.27,26.94
672,4.17,12.72,26.94
673,2.34,7.14,26.94
674,2.84,8.66,26.94
675,3.26,9.93,26.94
676,3.81,11.61,26.94
677,3.41,10.41,26.94
678,2.03,6.20,26.94
679,1.61,4.92,26.94
680,3.79,11.57,26.87
681,2.38,7.26,26.87
682,1.81,5.52,26.87
683,3.57,10.90,26.87
684,4.01,12.24,26.87
685,2.13,6.50,26.87
686,2.94,8.96,26.87
687,3.24,9.87,26.87
688,2.95,9.00,26.87
689,3.35,10.23,26.87
690,2.19,6.69,26.81
691,3.17,9.67,26.81
692,3.70,11.30,26.81
693,1.64,4.99,26.81
694,3.04,9.29,26.81
695,2.92,8.90,26.81
696,3.20,9.76,26.81
697,3.80,11.60,26.81
698,2.79,8.51,26.81
699,3.33,10.15,26.75
700,3.46,10.55,26.75
701,3.75,11.45,26.75
702,1.57,4.80,26.75
703,1.77,5.40,26.75
704,4.65,14.18,26.75
705,2.91,8.88,26.69
706,4.00,12.19,26.69
707,3.03,9.23,26.69
708,3.19,9.72,26.69
709,1.98,6.04,26.69
710,4.05,12.34,26.69
711,2.80,8.53,26.69
712,2.19,6.69,26.69
